case_code,date,year,month,day,hour,zip_code,escalated,mobile,city,state,location_primary,school_level,offender_count,relationship,weapon_primary,weapon_pistol_tot,weapon_shotgun_tot,weapon_rifle_tot,weapon_tot,shot_tot,shot_tot_incl,shot_cit_tot,shot_le_tot,shot_guard_tot,wound_tot,wound_tot_incl,wound_cit_tot,wound_le_tot,wound_guard_tot,kill_tot,kill_tot_incl,kill_cit_tot,kill_le_tot,kill_guard_tot,resolution,resolved_pre_le,age_1,age_2,age_3,sex_1,sex_2,sex_3,race_1,race_2,race_3
281,2017-09-24,2017,Sep,Sun,11,37011,No,No,Antioch,TN,Other,,1,No relationship,Pistol,2,0,0,2,7,8,7,0,0,6,7,6,0,0,1,1,1,0,0,Subdued by citizens,Yes,25,,,Male,,,African American,,
282,2017-10-01,2017,Oct,Sun,22,89119,No,No,Las Vegas,NV,Outdoors,,1,No relationship,Rifle,0,0,4,4,471,547,469,2,0,413,489,413,0,0,58,58,56,2,0,Suicide before police arrival,Yes,64,,,Male,,,Caucasian,,
283,2017-10-18,2017,Oct,Wed,8,21040,No,Yes,Edgewood,MD,Business,,1,Coworker,Pistol,1,0,0,1,6,6,6,0,0,3,3,3,0,0,3,3,3,0,0,Fled,Yes,37,,,Male,,,African American,,
284,2017-10-23,2017,Oct,Mon,11,95423,No,Yes,Clearlake Oaks,CA,Other,,1,No relationship,Shotgun,1,1,0,2,4,5,3,1,0,2,3,1,1,0,2,2,2,0,0,Surrendered,No,61,,,Male,,,Caucasian,,
285,2017-10-31,2017,Oct,Tue,15,10001,No,No,Manhattan,NY,Outdoors,,1,No relationship,Vehicle,0,0,0,0,0,0,0,0,0,11,,11,0,0,8,,8,0,0,Shot by police,No,29,,,Male,,,Middle Eastern,,
286,2017-11-01,2017,Nov,Wed,18,80229,No,No,Thornton,CO,Business,,1,No relationship,Pistol,1,0,0,1,3,3,3,0,0,0,0,0,0,0,3,3,3,0,0,Fled,Yes,47,,,Male,,,Caucasian,,
287,2017-11-05,2017,Nov,Sun,11,78161,No,No,Sutherland Springs,TX,Other,,1,Indirect,Rifle,2,0,1,3,46,46,46,0,0,20,20,20,0,0,26,26,26,0,0,Shot by citizen,Yes,26,,,Male,,,Caucasian,,
288,2017-11-14,2017,Nov,Tue,7,96021,No,Yes,Rancho Tehama,CA,Outdoors,Elementary school,1,No relationship,Rifle,2,0,1,3,18,19,18,0,0,8,14,8,0,0,4,5,4,0,0,Shot by police,No,44,,,Male,,,Caucasian,,
289,2017-11-14,2017,Nov,Tue,14,14206,No,No,Cheektowaga,NY,Business,,1,No relationship,Rifle,0,0,2,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,Subdued by citizens,Yes,29,,,Male,,,African American,,
290,2017-11-17,2017,Nov,Fri,16,32955,No,No,Rockledge,FL,Business,,1,No relationship,Pistol,1,0,0,1,2,2,2,0,0,1,1,1,0,0,1,1,1,0,0,Shot by citizen,Yes,28,,,Male,,,African American,,
291,2017-12-03,2017,Dec,Sun,4,11001,Yes,No,Queens,NY,Business,,1,No relationship,Vehicle,0,0,0,1,0,0,0,0,0,7,,7,0,0,1,,1,0,0,Fled,Yes,22,,,Male,,,African American,,
292,2017-12-07,2017,Dec,Thu,8,87410,No,No,Aztec,NM,School,High school,1,Student,Pistol,1,0,0,1,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,Suicide before police arrival,Yes,21,,,Male,,,Caucasian,,
